study_id,site_id,title,species_guess,lat,lon,online
40455,Fazenda São Pedro,Aragão - Fazenda São Pedro - LIFR - ITRDB BRA025,,,,https://www.ncei.noaa.gov/access/paleo-search/study/40455
40460,Fazenda São Pedro,Aragão - Fazenda São Pedro - TAAU - ITRDB BRA030,,,,https://www.ncei.noaa.gov/access/paleo-search/study/40460
40446,Monumento Natural Grota do Angico,Aragão - Monumento Natural Grota do Angico - ASPY - ITRDB BRA016,Grota do,,,https://www.ncei.noaa.gov/access/paleo-search/study/40446
40459,Monumento Natural Grota do Angico,Aragão - Monumento Natural Grota do Angico - TAAU - ITRDB BRA029,Grota do,,,https://www.ncei.noaa.gov/access/paleo-search/study/40459
40469,Sete Cidades,Aragão - Sete Cidades - ASSU - ITRDB BRA039,,,,https://www.ncei.noaa.gov/access/paleo-search/study/40469
40472,Sete Cidades,Aragão - Sete Cidades - HAOC - ITRDB BRA042,,,,https://www.ncei.noaa.gov/access/paleo-search/study/40472
40468,Ubajara,Aragão - Ubajara - ASCS - ITRDB BRA038,,,,https://www.ncei.noaa.gov/access/paleo-search/study/40468
40471,Ubajara,Aragão - Ubajara - HASE - ITRDB BRA041,,,,https://www.ncei.noaa.gov/access/paleo-search/study/40471
16497,Glacier Gulch,Aravena - Glacier Gulch - TSME - ITRDB CANA390,,,,https://www.ncei.noaa.gov/access/paleo-search/study/16497
16601,Morphee,Aravena - Morphee - PCEN - ITRDB CANA442,,,,https://www.ncei.noaa.gov/access/paleo-search/study/16601
16499,Premier,Aravena - Premier - TSME - ITRDB CANA392,,,,https://www.ncei.noaa.gov/access/paleo-search/study/16499
16500,Salmon,Aravena - Salmon - TSME - ITRDB CANA393,,,,https://www.ncei.noaa.gov/access/paleo-search/study/16500
16495,Sweeney,Aravena - Sweeney - PICO - ITRDB CANA388,,,,https://www.ncei.noaa.gov/access/paleo-search/study/16495
16613,Ten Mile,Aravena - Ten Mile - PCEN - ITRDB CANA454,,,,https://www.ncei.noaa.gov/access/paleo-search/study/16613
16614,Tumuch,Aravena - Tumuch - PCEN - ITRDB CANA455,,,,https://www.ncei.noaa.gov/access/paleo-search/study/16614
1000342,Lac Duparquet,"Archambault - Lac Duparquet - THOC - CANA106, PAGES North America 2K Version",,,,https://www.ncei.noaa.gov/access/paleo-search/study/1000342
2664,Lac Duparquet,Archambault - Lac Duparquet - THOC - ITRDB CANA106,,,,https://www.ncei.noaa.gov/access/paleo-search/study/2664
37999,Arctic,Arctic Air Temperature Reconstruction using Tree Rings from 1550-2007 CE,Reconstruction using,,,https://www.ncei.noaa.gov/access/paleo-search/study/37999
15444,Arctic2014Sundqvist,Arctic Holocene Proxy Climate Database,,,,https://www.ncei.noaa.gov/access/paleo-search/study/15444
28311,Abbey Gatehouse and Number 1 The Square,Arnold - Abbey Gatehouse and Number 1 The Square - QUSP - ITRDB BRIT074,Gatehouse and,,,https://www.ncei.noaa.gov/access/paleo-search/study/28311
28313,Bolsover Castle,Arnold - Bolsover Castle - QUSP - ITRDB BRIT076,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28313
28320,Breakspear House,Arnold - Breakspear House - QUSP - ITRDB BRIT083,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28320
28310,Church of St Mary,Arnold - Church of St Mary - QUSP - ITRDB BRIT073,Church of,,,https://www.ncei.noaa.gov/access/paleo-search/study/28310
28329,Church of St Mary Stockport,Arnold - Church of St Mary Stockport - QUSP - ITRDB BRIT092,Church of,,,https://www.ncei.noaa.gov/access/paleo-search/study/28329
28315,Codnor Castle,Arnold - Codnor Castle - QUSP - ITRDB BRIT078,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28315
28316,Croome Court,Arnold - Croome Court - QUSP - ITRDB BRIT079,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28316
28317,Dronfield Hall Barn,Arnold - Dronfield Hall Barn - QUSP - ITRDB BRIT080,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28317
28318,Ely Cathedral,Arnold - Ely Cathedral - QUSP - ITRDB BRIT081,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28318
36973,"Furness Abbey, Cumbria","Arnold - Furness Abbey, Cumbria - QUSP - ITRDB BRIT096",,,,https://www.ncei.noaa.gov/access/paleo-search/study/36973
28319,Great Bidlake,Arnold - Great Bidlake - QUSP - ITRDB BRIT082,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28319
28323,Kilve Chantry,Arnold - Kilve Chantry - QUSP - ITRDB BRIT086,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28323
28324,Ledston Hall,Arnold - Ledston Hall - QUSP - ITRDB BRIT087,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28324
36974,"St Leonard's Church, Northamptonshire","Arnold - St Leonard's Church, Northamptonshire - QUSP - ITRDB BRIT097",,,,https://www.ncei.noaa.gov/access/paleo-search/study/36974
28330,Sydenham House,Arnold - Sydenham House - QUSP - ITRDB BRIT093,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28330
28331,Tattershall Castle,Arnold - Tattershall Castle - QUSP - ITRDB BRIT094,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28331
28325,The Bede House,Arnold - The Bede House - QUSP - ITRDB BRIT088,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28325
28332,Windsor Castle,Arnold - Windsor Castle - QUSP - ITRDB BRIT095,,,,https://www.ncei.noaa.gov/access/paleo-search/study/28332
19523,Eastern Temperate Asia,Asia 1200 Year Gridded Summer Temperature Reconstructions,,,,https://www.ncei.noaa.gov/access/paleo-search/study/19523
2665,Rata Creek,Aston - Rata Creek - NOSO - ITRDB NEWZ052,,,,https://www.ncei.noaa.gov/access/paleo-search/study/2665
